[Wed Nov 26 13:08:29.964950 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] TeamCredentialsService initialized with:
[Wed Nov 26 13:08:29.965459 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team
[Wed Nov 26 13:08:29.965459 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] Public path: /images/team
[Wed Nov 26 13:08:29.965966 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] Upload path exists: YES
[Wed Nov 26 13:08:29.994762 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] TeamCredentialsService initialized with:
[Wed Nov 26 13:08:29.996292 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team
[Wed Nov 26 13:08:29.996292 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] Public path: /images/team
[Wed Nov 26 13:08:29.996292 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:60087] Upload path exists: YES
[Wed Nov 26 13:08:57.115531 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.116648 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.116648 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.116648 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.160497 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.160497 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.160497 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.160497 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.246071 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.248662 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.248662 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.248662 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.284476 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.284476 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.284476 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.284476 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.568705 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.568705 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.568705 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.569296 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.590670 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.590670 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.590670 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.592035 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.596059 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.596059 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.597120 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.597120 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.622577 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.622577 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.622577 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.622577 2025] [php:notice] [pid 7700:tid 1692] [client 127.0.0.1:49673] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.686550 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.686550 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.686550 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Public path: /images/team, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.687551 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path exists: YES, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.726064 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] TeamCredentialsService initialized with:, referer: http://localhost:5174/
[Wed Nov 26 13:08:57.726064 2025] [php:notice] [pid 7700:tid 1700] [client 127.0.0.1:49670] Upload path: E:\\Rondo-Development\\api\\src/../public/images/team, referer: http://localhost:5174/
